GameID,GameWeekNum,HourOfGame,BallFieldNum
1,Week 1,6,F1
2,Week 1,6,F2
3,Week 1,6,F3
4,Week 1,7,F1
5,Week 1,7,F2
6,Week 1,7,F3
7,Week 1,8,F1
8,Week 1,8,F2
9,Week 1,8,F3
10,Week 1,9,F1
11,Week 1,9,F2
12,Week 1,9,F3
13,Week 1,10,F1
14,Week 1,10,F2
15,Week 1,10,F3
16,Week 2,6,F1
17,Week 2,6,F2
18,Week 2,6,F3
19,Week 2,7,F1
20,Week 2,7,F2
21,Week 2,7,F3
22,Week 2,8,F1
23,Week 2,8,F2
24,Week 2,8,F3
25,Week 2,9,F1
26,Week 2,9,F2
27,Week 2,9,F3
28,Week 2,10,F1
29,Week 2,10,F2
30,Week 2,10,F3
31,Week 3,6,F1
32,Week 3,6,F2
33,Week 3,6,F3
34,Week 3,7,F1
35,Week 3,7,F2
36,Week 3,7,F3
37,Week 3,8,F1
38,Week 3,8,F2
39,Week 3,8,F3
40,Week 3,9,F1
41,Week 3,9,F2
42,Week 3,9,F3
43,Week 3,10,F1
44,Week 3,10,F2
45,Week 3,10,F3
46,Week 4,6,F1
47,Week 4,6,F2
48,Week 4,6,F3
49,Week 4,7,F1
50,Week 4,7,F2
51,Week 4,7,F3
52,Week 4,8,F1
53,Week 4,8,F2
54,Week 4,8,F3
55,Week 4,9,F1
56,Week 4,9,F2
57,Week 4,9,F3
58,Week 4,10,F1
59,Week 4,10,F2
60,Week 4,10,F3
61,Week 5,6,F1
62,Week 5,6,F2
63,Week 5,6,F3
64,Week 5,7,F1
65,Week 5,7,F2
66,Week 5,7,F3
67,Week 5,8,F1
68,Week 5,8,F2
69,Week 5,8,F3
70,Week 5,9,F1
71,Week 5,9,F2
72,Week 5,9,F3
73,Week 5,10,F1
74,Week 5,10,F2
75,Week 5,10,F3
